iter	Passed	Remaining
0	0	158
1	2	206
2	3	200
3	3	188
4	4	180
5	5	178
6	6	175
7	7	178
8	8	187
9	9	182
10	10	179
11	11	176
12	12	175
13	12	172
14	13	170
15	14	169
16	15	170
17	16	170
18	17	168
19	18	166
20	19	163
21	19	158
22	20	157
23	21	155
24	21	152
25	22	151
26	23	149
27	24	149
28	25	149
29	26	148
30	26	147
31	27	145
32	28	144
33	29	143
34	30	142
35	31	141
36	31	140
37	33	142
38	34	142
39	35	141
40	36	140
41	37	140
42	38	139
43	39	138
44	39	137
45	40	136
46	41	135
47	42	133
48	43	132
49	43	131
50	44	130
51	45	130
52	46	129
53	47	127
54	48	126
55	49	126
56	50	126
57	50	124
58	51	123
59	52	122
60	53	122
61	55	123
62	56	123
63	57	122
64	58	121
65	59	119
66	59	119
67	60	118
68	61	117
69	62	116
70	63	114
71	64	113
72	65	113
73	66	112
74	66	111
75	67	110
76	68	109
77	69	108
78	70	107
79	71	106
80	72	105
81	72	105
82	74	104
83	74	103
84	75	102
85	76	101
86	77	100
87	78	99
88	79	98
89	80	98
90	81	97
91	82	96
92	83	95
93	83	94
94	84	93
95	85	92
96	86	91
97	86	90
98	87	89
99	88	88
100	88	87
101	89	86
102	90	84
103	90	83
104	91	82
105	92	81
106	92	80
107	93	79
108	94	78
109	95	77
110	95	76
111	96	75
112	97	74
113	97	73
114	98	72
115	99	72
116	100	71
117	101	70
118	101	69
119	102	68
120	103	67
121	104	66
122	105	65
123	106	65
124	107	64
125	108	63
126	109	63
127	110	62
128	111	61
129	111	60
130	112	59
131	113	58
132	114	57
133	115	56
134	116	55
135	116	55
136	117	54
137	118	53
138	119	52
139	120	51
140	120	50
141	121	49
142	122	48
143	132	51
144	133	50
145	146	54
146	147	53
147	148	52
148	149	51
149	150	50
150	151	49
151	152	48
152	153	47
153	154	46
154	154	44
155	155	43
156	156	42
157	156	41
158	157	40
159	158	39
160	159	38
161	160	37
162	160	36
163	161	35
164	162	34
165	163	33
166	163	32
167	164	31
168	165	30
169	166	29
170	167	28
171	168	27
172	168	26
173	169	25
174	170	24
175	171	23
176	172	22
177	172	21
178	173	20
179	174	19
180	174	18
181	175	17
182	176	16
183	177	15
184	178	14
185	179	13
186	179	12
187	180	11
188	181	10
189	182	9
190	183	8
191	184	7
192	184	6
193	185	5
194	186	4
195	187	3
196	188	2
197	188	1
198	189	0
199	190	0
