,playlist,id,track_name,artist_names,genres
0,kizombamama,0qrad26bbnF71qbebIhV2q,365,['Badoxa'],"['kizomba', 'portuguese pop']"
1,kizombamama,0r2ZBAHKX36U3do2a3E0Vd,Perigosa (feat. Anselmo Ralph),"['C4 Pedro', 'Anselmo Ralph']","['kizomba', 'musica angolana', 'portuguese pop'], ['kizomba', 'musica angolana', 'portuguese pop', 'semba']"
2,kizombamama,7oykBwi0pFz0MdeuAVod3W,My Boo,['Atim'],['kizomba']
3,kizombamama,7j8QEq3Mb8Ulg3qvRRcfNK,Unconditional (Acoustic),['Sinéad Harnett'],['alternative r&b']
4,kizombamama,6lZ5p6VTbZ2ZvnsdTlLv7I,emiliana,['CKay'],['afro r&b']
5,kizombamama,6EMvAQTdJ0Xs7XV5D5dOun,Faço Como,['Liriany'],"['kizomba', 'musica angolana']"
6,kizombamama,62RLY5V0rZEOMY0SkBzCnk,Colaborar,['Wargas'],[]
7,kizombamama,5p1eiAHN5xYAMrSUDKxidI,Te Amo,['Calema'],"['musica santomense', 'portuguese pop']"
8,kizombamama,5YFM2pnhKvoBUPOlBkCXrV,Akanadja,['Neyna'],['kizomba']
9,kizombamama,4pwyUDsUjUGlKO7nEEW49F,Tokyo Drift,['Jay Lima'],['urban kiz']
10,kizombamama,3wk8UxvhThSKRKL9Kky00G,Vou Me Entregar,['Filomena Maricoa'],['kizomba']
11,kizombamama,3IzBeYT0GyvpPMTlppy5qr,mmadu,['CKay'],['afro r&b']
12,kizombamama,2eWly1qDvIMnrV91WGvAzX,Nha Rainha (feat. Dino D'Santiago),"['C4 Pedro', ""Dino d'Santiago""]","['kizomba', 'musica angolana', 'portuguese pop'], ['hip hop tuga']"
13,zoukini,7oykBwi0pFz0MdeuAVod3W,My Boo,['Atim'],['kizomba']
14,zoukini,77yuzxCS3csrgTPSW0pvyk,O,['Coldplay'],"['permanent wave', 'pop']"
15,zoukini,5W8OFf4lhZO0feWHR0Q7UG,Go Go Club,"['Bokoesam', 'Chivv']","['dutch hip hop', 'dutch rap pop'], ['dutch hip hop', 'dutch rap pop', 'nederreggae']"
16,zoukini,5BdiJxjb4eMFcScDhKtxga,Saudades,['Young No Beatz'],[]
17,zoukini,56oReVXIfUO9xkX7pHmEU0,On the Nature of Daylight,"['Max Richter', 'Louisa Fuller', 'Natalia Bonner', 'John Metcalfe', 'Philip Sheppard', 'Chris Worsey']","['modern cello'], ['modern cello'], [], [], [], []"
18,zoukini,3jVniYVNCrwQvvWJpReosr,Fear of the Water,['SYML'],"['indie anthem-folk', 'modern indie pop']"
19,zoukini,2deXzCb4IfpoaqWRiMMSvU,Aunque Estés Con Él,['Abraham Mateo'],"['latin arena pop'], ['latin arena pop']"
20,zoukini,25wYwKsYFZH6O3bxuJtqvL,Presencia,['Danit'],['high vibe']
21,zoukini,0q1pkKvBMInZxxUzjuIrdf,Paspatou,['Parra for Cuva'],['deep euro house']
22,zoukini,09ID9xg4JsT6Zqyg5hPgBR,Apus,['Danit'],['high vibe']
23,¡zapatos! ¡zapatos!,6GYVQeCZjXiFWxpS9GUd4c,Sobrio - Bachata Version,"['Dj Husky', 'Mario Baro']","['bachata'], ['bachata']"
24,¡zapatos! ¡zapatos!,4NoOME4Dhf4xgxbHDT7VGe,X SI VOLVEMOS,"['KAROL G', 'Romeo Santos']","['bachata'], ['bachata'], ['reggaeton', 'reggaeton colombiano', 'trap latino', 'urbano latino']"
25,¡zapatos! ¡zapatos!,3mpg5eHecxXLBmF2feLYkX,Bubalu,"['DJ Khalid', 'Seo Fernandez']","['bachata'], ['salsa cubana']"
26,¡zapatos! ¡zapatos!,2vmfvSoZBFAt9hhRoEByLi,Volví,"['Aventura', 'Bad Bunny']","['reggaeton'], ['trap latino'], ['bachata'], ['trap latino']"
27,¡zapatos! ¡zapatos!,2deXzCb4IfpoaqWRiMMSvU,Aunque Estés Con Él,['Abraham Mateo'],"['latin arena pop'], ['latin arena pop']"
28,¡zapatos! ¡zapatos!,0JmfRnVhpazBXLNggalqix,Veneno - Ao Vivo,"['Gusttavo Lima', 'Prince Royce']","['bachata'], ['bachata']"
29,¡zapatos! ¡zapatos!,6I5d5R7HynCMVsW44cYsTE,La Pesadilla (Bachata),"['DJ Khalid', 'Jhonny Evidence']","['bachata'], ['bachata dominicana']"
