,playlist_name,artist_names,first_genre,enoa_subgenre_matches,top,left,best_playlist_match,best_enoa_match
18,avril 14th,['Arms and Sleepers'],ambient idm,"['acoustic-indie', 'new-wave']",8162,633,"['ambient idm', 'swiss indie', 'turkish alternative', 'art pop', 'alternative rock', 'instrumental math rock', 'indie rock', 'atmospheric post-rock', 'american post-rock', 'lo-fi study', 'latintronica', 'chamber pop', 'lo-fi beats', 'ambient post-rock', 'ambient', 'australian ambient', 'arabic jazz', 'deep disco house', 'experimental ambient', 'ambient guitar', 'fourth world', 'ambient country', 'instrumental acoustic guitar', 'modern cello', 'focus', 'deep free jazz', 'compositional ambient', 'neo-classical', 'contrabass', '21st century classical', 'american contemporary classical', 'british classical piano', 'classical', 'french classical piano']","['madchester', 'new wave', 'new romantic', 'art rock']"
22,avril 14th,['Roberto Musci'],deep free jazz,"['levant-jazz', 'post-punk']",18732,659,"['deep free jazz', 'focus', 'modern cello', 'instrumental acoustic guitar', 'compositional ambient', 'ambient country', 'neo-classical', 'fourth world', 'contrabass', 'american contemporary classical', '21st century classical', 'british classical piano', 'ambient guitar', 'experimental ambient', 'classical', 'arabic jazz', 'australian ambient', 'ambient', 'french classical piano', 'ambient post-rock', 'lo-fi beats', 'chamber pop', 'lo-fi study', 'american post-rock', 'atmospheric post-rock', 'indie rock', 'instrumental math rock', 'alternative rock', 'art pop', 'turkish alternative', 'swiss indie', 'ambient idm', 'latintronica', 'deep disco house']","['classic soundtrack', 'vintage italian soundtrack', 'library music', 'vintage french psychedelic']"
27,avril 14th,['Suzanne Kraft'],fourth world,"['acoustic-folk', 'ambient', 'post-punk']",16248,386,"['fourth world', 'ambient guitar', 'experimental ambient', 'arabic jazz', 'australian ambient', 'ambient country', 'ambient', 'ambient post-rock', 'instrumental acoustic guitar', 'modern cello', 'focus', 'deep free jazz', 'lo-fi beats', 'chamber pop', 'compositional ambient', 'lo-fi study', 'neo-classical', 'american post-rock', 'contrabass', '21st century classical', 'american contemporary classical', 'british classical piano', 'atmospheric post-rock', 'classical', 'french classical piano', 'indie rock', 'instrumental math rock', 'alternative rock', 'art pop', 'turkish alternative', 'swiss indie', 'ambient idm', 'latintronica', 'deep disco house']","['library music', 'vintage italian soundtrack', 'vintage french psychedelic', 'classic soundtrack']"
70,avril 14th,"['Kappa Mountain', 'Audio Dope', 'Matthias Gusset']",swiss indie,"['acoustic-indie', 'latin-pop', 'shamanic']",8224,703,"['swiss indie', 'ambient idm', 'turkish alternative', 'art pop', 'alternative rock', 'instrumental math rock', 'indie rock', 'atmospheric post-rock', 'american post-rock', 'lo-fi study', 'latintronica', 'chamber pop', 'lo-fi beats', 'ambient post-rock', 'ambient', 'australian ambient', 'arabic jazz', 'experimental ambient', 'deep disco house', 'ambient guitar', 'fourth world', 'ambient country', 'instrumental acoustic guitar', 'modern cello', 'focus', 'deep free jazz', 'compositional ambient', 'neo-classical', 'contrabass', '21st century classical', 'american contemporary classical', 'british classical piano', 'classical', 'french classical piano']","['ecuadorian indie', 'high vibe', 'world', 'folklore boliviano', 'nuevo folklore mexicano', 'shamanic']"
88,lebanese blonde,['Blundetto'],electro jazz,"['bachata', 'electronica', 'house', 'kizomba', 'lo-fi']",4670,971,"['electro jazz', 'downtempo', 'electro-pop francais', 'greek downtempo', 'j-rock', 'french indie pop', 'indie surf', 'indie soul', 'latin funk', 'uk post-punk', 'musica popular paraense', 'deep funk', 'brazilian indie', 'art pop', 'charlotte nc indie', 'alternative rock', 'australian alternative rock', 'ethereal wave', 'album rock', 'brazilian boogie', 'afropop', 'rare groove', 'arab groove', 'instrumental stoner rock', 'nova mpb', 'musica goiana', 'afrobeat', 'chamber pop', 'instrumental funk', 'raga rock', 'brass band', 'vintage french psychedelic', 'classic japanese jazz', 'chicago soul', 'classic persian pop', 'library music', 'british jazz', 'bossa nova', 'vintage italian soundtrack', 'spiritual jazz', 'adult standards', 'classic soundtrack']","['chill beats', 'glitch beats', 'ambeat', 'instrumental hip hop', 'chillhop', 'lo-fi study', 'lo-fi beats']"
109,lebanese blonde,"['Massive Attack', 'Elizabeth Fraser']",ethereal wave,['ambient'],10257,289,"['ethereal wave', 'australian alternative rock', 'alternative rock', 'album rock', 'charlotte nc indie', 'art pop', 'brazilian boogie', 'brazilian indie', 'deep funk', 'afropop', 'arab groove', 'rare groove', 'instrumental stoner rock', 'nova mpb', 'musica popular paraense', 'uk post-punk', 'musica goiana', 'chamber pop', 'afrobeat', 'latin funk', 'instrumental funk', 'indie soul', 'indie surf', 'raga rock', 'french indie pop', 'j-rock', 'brass band', 'vintage french psychedelic', 'classic japanese jazz', 'electro-pop francais', 'chicago soul', 'downtempo', 'classic persian pop', 'library music', 'electro jazz', 'british jazz', 'bossa nova', 'greek downtempo', 'vintage italian soundtrack', 'spiritual jazz', 'adult standards', 'classic soundtrack']","['instrumental math rock', 'american post-rock', 'ambient pop', 'ambient worship', 'ambient post-rock', 'ambient', 'australian ambient', 'experimental ambient', 'ambient guitar', 'ambient country', 'focus', 'compositional ambient', 'neo-classical']"
157,lebanese blonde,['Gábor Szabó'],spiritual jazz,['levant-jazz'],17212,680,"['spiritual jazz', 'vintage italian soundtrack', 'bossa nova', 'british jazz', 'library music', 'classic persian pop', 'adult standards', 'classic soundtrack', 'chicago soul', 'classic japanese jazz', 'vintage french psychedelic', 'brass band', 'raga rock', 'instrumental funk', 'chamber pop', 'afrobeat', 'musica goiana', 'nova mpb', 'instrumental stoner rock', 'arab groove', 'rare groove', 'afropop', 'brazilian boogie', 'album rock', 'ethereal wave', 'australian alternative rock', 'alternative rock', 'art pop', 'charlotte nc indie', 'brazilian indie', 'deep funk', 'musica popular paraense', 'uk post-punk', 'latin funk', 'indie soul', 'indie surf', 'french indie pop', 'j-rock', 'electro-pop francais', 'downtempo', 'electro jazz', 'greek downtempo']","['israeli jazz', 'arabic jazz', 'arab folk', 'turkish jazz', 'arabesk']"
161,lebanese blonde,['Gábor Szabó'],spiritual jazz,['levant-jazz'],17212,680,"['spiritual jazz', 'vintage italian soundtrack', 'bossa nova', 'british jazz', 'library music', 'classic persian pop', 'adult standards', 'classic soundtrack', 'chicago soul', 'classic japanese jazz', 'vintage french psychedelic', 'brass band', 'raga rock', 'instrumental funk', 'chamber pop', 'afrobeat', 'musica goiana', 'nova mpb', 'instrumental stoner rock', 'arab groove', 'rare groove', 'afropop', 'brazilian boogie', 'album rock', 'ethereal wave', 'australian alternative rock', 'alternative rock', 'art pop', 'charlotte nc indie', 'brazilian indie', 'deep funk', 'musica popular paraense', 'uk post-punk', 'latin funk', 'indie soul', 'indie surf', 'french indie pop', 'j-rock', 'electro-pop francais', 'downtempo', 'electro jazz', 'greek downtempo']","['israeli jazz', 'arabic jazz', 'arab folk', 'turkish jazz', 'arabesk']"
174,searching for the moon,['May Nasr'],lebanese pop,"['acoustic-indie', 'levant-indie', 'shamanic']",10738,721,"['lebanese pop', 'brazilian boogie', 'afrofuturism', 'arab alternative', 'arab groove', 'turkish alt pop', 'arab pop', 'palestinian alternative', 'brazilian indie', 'j-acoustic', 'cantautora mexicana', 'turkish alternative rock', 'peruvian indie', 'arabesk', 'classic japanese jazz', 'turkish jazz', 'arabic jazz', 'bossa nova', 'danish jazz', 'avant-garde jazz', 'arab folk', 'jazz saxophone', 'samba-jazz', 'cool jazz', 'bebop', 'classical guitar']","['high vibe', 'world', 'ecuadorian indie', 'folklore boliviano', 'nuevo folklore mexicano', 'shamanic']"
180,searching for the moon,['Majida El Roumi'],arab pop,"['latin-pop', 'shamanic']",9599,746,"['arab pop', 'brazilian indie', 'cantautora mexicana', 'turkish alt pop', 'arab alternative', 'afrofuturism', 'lebanese pop', 'brazilian boogie', 'turkish alternative rock', 'arab groove', 'peruvian indie', 'palestinian alternative', 'j-acoustic', 'arabesk', 'classic japanese jazz', 'turkish jazz', 'arabic jazz', 'bossa nova', 'danish jazz', 'avant-garde jazz', 'arab folk', 'jazz saxophone', 'samba-jazz', 'cool jazz', 'bebop', 'classical guitar']","['ecuadorian indie', 'high vibe', 'world', 'folklore boliviano', 'nuevo folklore mexicano', 'shamanic']"
