,id,playlist_name,track_name,release_date,artist_names,genres,first_genre,my_genre,top,left,index,score,outliers
588,5aNhYFgtx4Y7uDlIPo9yTA,avril 14th,Waltz (a Lonely Crowd),2010-03-26,"['Masayoshi Fujita', 'Jan Jelinek']","['experimental ambient', 'fourth world', 'j-ambient'], ['drone', 'glitch', 'intelligent dance music', 'microhouse']",experimental ambient,ambient,15751,294,0,0.039310373805245824,0.0
589,2MZSXhq4XDJWu6coGoXX1V,avril 14th,Avril 14th,2001-10-22,['Aphex Twin'],"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",ambient,ambient,15167,234,1,0.11044405207390628,0.0
590,3oGyX1psarmbXe5VETk39Y,avril 14th,"Debussy: Suite bergamasque, CD 82, L. 75: III. Clair de lune",2012-04-18,"['Claude Debussy', 'Samson François']","['french classical piano', 'historic piano performance'], ['classical', 'impressionism', 'post-romantic era']",french classical piano,ambient,22375,508,2,0.17530663812162983,0.0
591,3DnLGuX4YU3PGein8vo5Zt,avril 14th,Orfeo et Eurydice: Mélodie for Piano Solo,2014-06-02,"['Christoph Willibald Gluck', 'Giovanni Sgambati', 'James Rhodes']","['british classical piano', 'classical piano'], ['italian romanticism', 'post-romantic era'], ['classical', 'classical era', 'early modern classical', 'early music', 'galante era']",british classical piano,ambient,21364,466,3,0.11941139798976969,0.0
592,2V539MV3mX2iNjpaalJeqH,avril 14th,20:17,2016-03-04,"['Ólafur Arnalds', 'Nils Frahm']","['compositional ambient', 'icelandic classical', 'neoclassical darkwave'], ['compositional ambient', 'electronica', 'neoclassical darkwave']",compositional ambient,ambient,20317,366,4,0.14310208372738004,0.0
593,0UjOc5HcoA6y5I7hXxTc9j,avril 14th,"Papillons, Op. 2: No. 7 in F Minor, Waltz",1957-01-01,"['Robert Schumann', 'Samson François']","['french classical piano', 'historic piano performance'], ['early romantic era', 'german romanticism']",french classical piano,ambient,22375,508,5,0.08720167030378956,0.0
594,6IhFOgNP7YeQ3PoI8kcRLn,avril 14th,You’re So Very Far Away,2011-10-25,['Clem Leek'],"['compositional ambient', 'focus', 'nu age']",compositional ambient,ambient,20317,366,6,0.1872372071499246,0.0
595,3L7mUq2oBF3kNJNrYLlHcn,avril 14th,"Chopin: Nocturne No. 2 in E-Flat Major, Op. 9 No. 2",2010-02-08,"['Frédéric Chopin', 'Samson François']","['french classical piano', 'historic piano performance'], ['classical', 'early romantic era', 'polish classical']",french classical piano,ambient,22375,508,7,0.1502969862313776,0.0
596,3ESsjKqrj3M79I8sSZieK3,avril 14th,aisatsana [102],2014-09-19,['Aphex Twin'],"['ambient', 'braindance', 'electronica', 'intelligent dance music', 'uk experimental electronic']",ambient,ambient,15167,234,8,0.1485309074221241,0.0
597,1YRmo4O2XAsirKv3ANYZGg,avril 14th,Breaking Down,2011-10-25,['Clem Leek'],"['compositional ambient', 'focus', 'nu age']",compositional ambient,ambient,20317,366,9,0.16148012542173174,0.0
